sample	experiment	comet_params	enzyme_regex	fasta	server
03174_GA1-TUM_first_pool_107_01_01-2xIT_2xHCD-1hnoincl-R2.raw	FirstPoolSemi	comet_params/comet.semitriptic.params.high_high	[KR]	./fasta/TUM_FIRST_POOL_107_indiv_irt.decoy.fasta	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/04/PXD021013/
03174_GA1-TUM_first_pool_107_01_01-3xHCD-1hnoincl-R2.raw	FirstPoolSemi	comet_params/comet.semitriptic.params.high_high	[KR]	./fasta/TUM_FIRST_POOL_107_indiv_irt.decoy.fasta	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/04/PXD021013/
03174_GA1-TUM_first_pool_107_01_01-DDA-1hnoincl-R2.raw	FirstPoolSemi	comet_params/comet.semitriptic.params.high_high	[KR]	./fasta/TUM_FIRST_POOL_107_indiv_irt.decoy.fasta	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/04/PXD021013/
03174_GA10-TUM_first_pool_116_01_01-2xIT_2xHCD-1hnoincl-R1.raw	FirstPoolSemi	comet_params/comet.semitriptic.params.high_high	[KR]	./fasta/TUM_FIRST_POOL_116_indiv_irt.decoy.fasta	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/04/PXD021013/
03174_GA10-TUM_first_pool_116_01_01-3xHCD-1hnoincl-R2.raw	FirstPoolSemi	comet_params/comet.semitriptic.params.high_high	[KR]	./fasta/TUM_FIRST_POOL_116_indiv_irt.decoy.fasta	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/04/PXD021013/
03174_GA10-TUM_first_pool_116_01_01-DDA-1hnoincl-R1.raw	FirstPoolSemi	comet_params/comet.semitriptic.params.high_high	[KR]	./fasta/TUM_FIRST_POOL_116_indiv_irt.decoy.fasta	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/04/PXD021013/
03174_GA11-TUM_first_pool_117_01_01-2xIT_2xHCD-1hnoincl-R1.raw	FirstPoolSemi	comet_params/comet.semitriptic.params.high_high	[KR]	./fasta/TUM_FIRST_POOL_117_indiv_irt.decoy.fasta	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/04/PXD021013/
03174_GA11-TUM_first_pool_117_01_01-3xHCD-1hnoincl-R3.raw	FirstPoolSemi	comet_params/comet.semitriptic.params.high_high	[KR]	./fasta/TUM_FIRST_POOL_117_indiv_irt.decoy.fasta	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/04/PXD021013/
03174_GA11-TUM_first_pool_117_01_01-DDA-1hnoincl-R1.raw	FirstPoolSemi	comet_params/comet.semitriptic.params.high_high	[KR]	./fasta/TUM_FIRST_POOL_117_indiv_irt.decoy.fasta	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/04/PXD021013/
03174_GA12-TUM_first_pool_118_01_01-2xIT_2xHCD-1hnoincl-R1.raw	FirstPoolSemi	comet_params/comet.semitriptic.params.high_high	[KR]	./fasta/TUM_FIRST_POOL_118_indiv_irt.decoy.fasta	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/04/PXD021013/
03174_GA12-TUM_first_pool_118_01_01-3xHCD-1hnoincl-R2.raw	FirstPoolSemi	comet_params/comet.semitriptic.params.high_high	[KR]	./fasta/TUM_FIRST_POOL_118_indiv_irt.decoy.fasta	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/04/PXD021013/
03174_GA12-TUM_first_pool_118_01_01-DDA-1hnoincl-R1.raw	FirstPoolSemi	comet_params/comet.semitriptic.params.high_high	[KR]	./fasta/TUM_FIRST_POOL_118_indiv_irt.decoy.fasta	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/04/PXD021013/
03174_GA2-TUM_first_pool_108_01_01-2xIT_2xHCD-1hnoincl-R2.raw	FirstPoolSemi	comet_params/comet.semitriptic.params.high_high	[KR]	./fasta/TUM_FIRST_POOL_108_indiv_irt.decoy.fasta	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/04/PXD021013/
03174_GA2-TUM_first_pool_108_01_01-3xHCD-1hnoincl-R2.raw	FirstPoolSemi	comet_params/comet.semitriptic.params.high_high	[KR]	./fasta/TUM_FIRST_POOL_108_indiv_irt.decoy.fasta	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/04/PXD021013/
03174_GA2-TUM_first_pool_108_01_01-DDA-1hnoincl-R2.raw	FirstPoolSemi	comet_params/comet.semitriptic.params.high_high	[KR]	./fasta/TUM_FIRST_POOL_108_indiv_irt.decoy.fasta	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/04/PXD021013/
03174_GA3-TUM_first_pool_109_01_01-2xIT_2xHCD-1hnoincl-R2.raw	FirstPoolSemi	comet_params/comet.semitriptic.params.high_high	[KR]	./fasta/TUM_FIRST_POOL_109_indiv_irt.decoy.fasta	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/04/PXD021013/
03174_GA3-TUM_first_pool_109_01_01-3xHCD-1hnoincl-R2.raw	FirstPoolSemi	comet_params/comet.semitriptic.params.high_high	[KR]	./fasta/TUM_FIRST_POOL_109_indiv_irt.decoy.fasta	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/04/PXD021013/
