sample	experiment	comet_params	enzyme_regex	fasta	server
03923_GB1-TMT_TUM_aspn_1_01_01-TMT1-1h-R1	TMT_ASPN	comet_params/comet.TMT.nocleavage.params.high_high 	[Z]	fasta/TUM_aspn_1_contam.decoy.fasta	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/04/PXD023120/
03923_GB1-TMT_TUM_aspn_1_01_01-TMT2-1h-R1	TMT_ASPN	comet_params/comet.TMT.nocleavage.params.high_high 	[Z]	fasta/TUM_aspn_1_contam.decoy.fasta	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/04/PXD023120/
03923_GB10-TMT_TUM_aspn_10_01_01-TMT1-1h-R1	TMT_ASPN	comet_params/comet.TMT.nocleavage.params.high_high 	[Z]	fasta/TUM_aspn_10_contam.decoy.fasta	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/04/PXD023120/
03923_GB10-TMT_TUM_aspn_10_01_01-TMT2-1h-R1	TMT_ASPN	comet_params/comet.TMT.nocleavage.params.high_high 	[Z]	fasta/TUM_aspn_10_contam.decoy.fasta	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/04/PXD023120/
03923_GB11-TMT_TUM_aspn_11_01_01-TMT1-1h-R1	TMT_ASPN	comet_params/comet.TMT.nocleavage.params.high_high 	[Z]	fasta/TUM_aspn_11_contam.decoy.fasta	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/04/PXD023120/
03923_GB11-TMT_TUM_aspn_11_01_01-TMT2-1h-R1	TMT_ASPN	comet_params/comet.TMT.nocleavage.params.high_high 	[Z]	fasta/TUM_aspn_11_contam.decoy.fasta	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/04/PXD023120/
03923_GB12-TMT_TUM_aspn_12_01_01-TMT1-1h-R1	TMT_ASPN	comet_params/comet.TMT.nocleavage.params.high_high 	[Z]	fasta/TUM_aspn_12_contam.decoy.fasta	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/04/PXD023120/
03923_GB12-TMT_TUM_aspn_12_01_01-TMT2-1h-R1	TMT_ASPN	comet_params/comet.TMT.nocleavage.params.high_high 	[Z]	fasta/TUM_aspn_12_contam.decoy.fasta	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/04/PXD023120/
03923_GB2-TMT_TUM_aspn_2_01_01-TMT1-1h-R1	TMT_ASPN	comet_params/comet.TMT.nocleavage.params.high_high 	[Z]	fasta/TUM_aspn_2_contam.decoy.fasta	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/04/PXD023120/
03923_GB2-TMT_TUM_aspn_2_01_01-TMT2-1h-R1	TMT_ASPN	comet_params/comet.TMT.nocleavage.params.high_high 	[Z]	fasta/TUM_aspn_2_contam.decoy.fasta	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/04/PXD023120/
03923_GB3-TMT_TUM_aspn_3_01_01-TMT1-1h-R1	TMT_ASPN	comet_params/comet.TMT.nocleavage.params.high_high 	[Z]	fasta/TUM_aspn_3_contam.decoy.fasta	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/04/PXD023120/
03923_GB3-TMT_TUM_aspn_3_01_01-TMT2-1h-R1	TMT_ASPN	comet_params/comet.TMT.nocleavage.params.high_high 	[Z]	fasta/TUM_aspn_3_contam.decoy.fasta	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/04/PXD023120/
03923_GB4-TMT_TUM_aspn_4_01_01-TMT1-1h-R1	TMT_ASPN	comet_params/comet.TMT.nocleavage.params.high_high 	[Z]	fasta/TUM_aspn_4_contam.decoy.fasta	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/04/PXD023120/
03923_GB4-TMT_TUM_aspn_4_01_01-TMT2-1h-R1	TMT_ASPN	comet_params/comet.TMT.nocleavage.params.high_high 	[Z]	fasta/TUM_aspn_4_contam.decoy.fasta	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/04/PXD023120/
03923_GB5-TMT_TUM_aspn_5_01_01-TMT1-1h-R1	TMT_ASPN	comet_params/comet.TMT.nocleavage.params.high_high 	[Z]	fasta/TUM_aspn_5_contam.decoy.fasta	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/04/PXD023120/
03923_GB5-TMT_TUM_aspn_5_01_01-TMT2-1h-R1	TMT_ASPN	comet_params/comet.TMT.nocleavage.params.high_high 	[Z]	fasta/TUM_aspn_5_contam.decoy.fasta	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/04/PXD023120/
03923_GB6-TMT_TUM_aspn_6_01_01-TMT1-1h-R1	TMT_ASPN	comet_params/comet.TMT.nocleavage.params.high_high 	[Z]	fasta/TUM_aspn_6_contam.decoy.fasta	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/04/PXD023120/
03923_GB6-TMT_TUM_aspn_6_01_01-TMT2-1h-R1	TMT_ASPN	comet_params/comet.TMT.nocleavage.params.high_high 	[Z]	fasta/TUM_aspn_6_contam.decoy.fasta	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/04/PXD023120/
03923_GB7-TMT_TUM_aspn_7_01_01-TMT1-1h-R1	TMT_ASPN	comet_params/comet.TMT.nocleavage.params.high_high 	[Z]	fasta/TUM_aspn_7_contam.decoy.fasta	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/04/PXD023120/
03923_GB7-TMT_TUM_aspn_7_01_01-TMT2-1h-R1	TMT_ASPN	comet_params/comet.TMT.nocleavage.params.high_high 	[Z]	fasta/TUM_aspn_7_contam.decoy.fasta	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/04/PXD023120/
03923_GB8-TMT_TUM_aspn_8_01_01-TMT1-1h-R1	TMT_ASPN	comet_params/comet.TMT.nocleavage.params.high_high 	[Z]	fasta/TUM_aspn_8_contam.decoy.fasta	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/04/PXD023120/
03923_GB8-TMT_TUM_aspn_8_01_01-TMT2-1h-R1	TMT_ASPN	comet_params/comet.TMT.nocleavage.params.high_high 	[Z]	fasta/TUM_aspn_8_contam.decoy.fasta	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/04/PXD023120/
03923_GB9-TMT_TUM_aspn_9_01_01-TMT1-1h-R1	TMT_ASPN	comet_params/comet.TMT.nocleavage.params.high_high 	[Z]	fasta/TUM_aspn_9_contam.decoy.fasta	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/04/PXD023120/
03923_GB9-TMT_TUM_aspn_9_01_01-TMT2-1h-R1	TMT_ASPN	comet_params/comet.TMT.nocleavage.params.high_high 	[Z]	fasta/TUM_aspn_9_contam.decoy.fasta	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/04/PXD023120/
03923_GC1-TMT_TUM_aspn_13_01_01-TMT1-1h-R1	TMT_ASPN	comet_params/comet.TMT.nocleavage.params.high_high 	[Z]	fasta/TUM_aspn_13_contam.decoy.fasta	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/04/PXD023120/
03923_GC1-TMT_TUM_aspn_13_01_01-TMT2-1h-R1	TMT_ASPN	comet_params/comet.TMT.nocleavage.params.high_high 	[Z]	fasta/TUM_aspn_13_contam.decoy.fasta	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/04/PXD023120/
03923_GC10-TMT_TUM_aspn_22_01_01-TMT1-1h-R1	TMT_ASPN	comet_params/comet.TMT.nocleavage.params.high_high 	[Z]	fasta/TUM_aspn_22_contam.decoy.fasta	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/04/PXD023120/
03923_GC10-TMT_TUM_aspn_22_01_01-TMT2-1h-R1	TMT_ASPN	comet_params/comet.TMT.nocleavage.params.high_high 	[Z]	fasta/TUM_aspn_22_contam.decoy.fasta	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/04/PXD023120/
03923_GC11-TMT_TUM_aspn_23_01_01-TMT1-1h-R1	TMT_ASPN	comet_params/comet.TMT.nocleavage.params.high_high 	[Z]	fasta/TUM_aspn_23_contam.decoy.fasta	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/04/PXD023120/
03923_GC11-TMT_TUM_aspn_23_01_01-TMT2-1h-R1	TMT_ASPN	comet_params/comet.TMT.nocleavage.params.high_high 	[Z]	fasta/TUM_aspn_23_contam.decoy.fasta	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/04/PXD023120/
03923_GC12-TMT_TUM_aspn_24_01_01-TMT1-1h-R1	TMT_ASPN	comet_params/comet.TMT.nocleavage.params.high_high 	[Z]	fasta/TUM_aspn_24_contam.decoy.fasta	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/04/PXD023120/
03923_GC12-TMT_TUM_aspn_24_01_01-TMT2-1h-R1	TMT_ASPN	comet_params/comet.TMT.nocleavage.params.high_high 	[Z]	fasta/TUM_aspn_24_contam.decoy.fasta	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/04/PXD023120/
03923_GC2-TMT_TUM_aspn_14_01_01-TMT1-1h-R1	TMT_ASPN	comet_params/comet.TMT.nocleavage.params.high_high 	[Z]	fasta/TUM_aspn_14_contam.decoy.fasta	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/04/PXD023120/
03923_GC2-TMT_TUM_aspn_14_01_01-TMT2-1h-R1	TMT_ASPN	comet_params/comet.TMT.nocleavage.params.high_high 	[Z]	fasta/TUM_aspn_14_contam.decoy.fasta	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/04/PXD023120/
03923_GC3-TMT_TUM_aspn_15_01_01-TMT1-1h-R1	TMT_ASPN	comet_params/comet.TMT.nocleavage.params.high_high 	[Z]	fasta/TUM_aspn_15_contam.decoy.fasta	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/04/PXD023120/
03923_GC3-TMT_TUM_aspn_15_01_01-TMT2-1h-R1	TMT_ASPN	comet_params/comet.TMT.nocleavage.params.high_high 	[Z]	fasta/TUM_aspn_15_contam.decoy.fasta	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/04/PXD023120/
03923_GC4-TMT_TUM_aspn_16_01_01-TMT1-1h-R1	TMT_ASPN	comet_params/comet.TMT.nocleavage.params.high_high 	[Z]	fasta/TUM_aspn_16_contam.decoy.fasta	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/04/PXD023120/
03923_GC4-TMT_TUM_aspn_16_01_01-TMT2-1h-R1	TMT_ASPN	comet_params/comet.TMT.nocleavage.params.high_high 	[Z]	fasta/TUM_aspn_16_contam.decoy.fasta	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/04/PXD023120/
03923_GC5-TMT_TUM_aspn_17_01_01-TMT1-1h-R1	TMT_ASPN	comet_params/comet.TMT.nocleavage.params.high_high 	[Z]	fasta/TUM_aspn_17_contam.decoy.fasta	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/04/PXD023120/
03923_GC5-TMT_TUM_aspn_17_01_01-TMT2-1h-R1	TMT_ASPN	comet_params/comet.TMT.nocleavage.params.high_high 	[Z]	fasta/TUM_aspn_17_contam.decoy.fasta	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/04/PXD023120/
03923_GC6-TMT_TUM_aspn_18_01_01-TMT1-1h-R1	TMT_ASPN	comet_params/comet.TMT.nocleavage.params.high_high 	[Z]	fasta/TUM_aspn_18_contam.decoy.fasta	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/04/PXD023120/
03923_GC6-TMT_TUM_aspn_18_01_01-TMT2-1h-R1	TMT_ASPN	comet_params/comet.TMT.nocleavage.params.high_high 	[Z]	fasta/TUM_aspn_18_contam.decoy.fasta	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/04/PXD023120/
03923_GC7-TMT_TUM_aspn_19_01_01-TMT1-1h-R1	TMT_ASPN	comet_params/comet.TMT.nocleavage.params.high_high 	[Z]	fasta/TUM_aspn_19_contam.decoy.fasta	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/04/PXD023120/
03923_GC7-TMT_TUM_aspn_19_01_01-TMT2-1h-R1	TMT_ASPN	comet_params/comet.TMT.nocleavage.params.high_high 	[Z]	fasta/TUM_aspn_19_contam.decoy.fasta	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/04/PXD023120/
03923_GC8-TMT_TUM_aspn_20_01_01-TMT1-1h-R1	TMT_ASPN	comet_params/comet.TMT.nocleavage.params.high_high 	[Z]	fasta/TUM_aspn_20_contam.decoy.fasta	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/04/PXD023120/
03923_GC8-TMT_TUM_aspn_20_01_01-TMT2-1h-R1	TMT_ASPN	comet_params/comet.TMT.nocleavage.params.high_high 	[Z]	fasta/TUM_aspn_20_contam.decoy.fasta	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/04/PXD023120/
03923_GC9-TMT_TUM_aspn_21_01_01-TMT1-1h-R1	TMT_ASPN	comet_params/comet.TMT.nocleavage.params.high_high 	[Z]	fasta/TUM_aspn_21_contam.decoy.fasta	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/04/PXD023120/
03923_GC9-TMT_TUM_aspn_21_01_01-TMT2-1h-R1	TMT_ASPN	comet_params/comet.TMT.nocleavage.params.high_high 	[Z]	fasta/TUM_aspn_21_contam.decoy.fasta	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/04/PXD023120/
03923_GD1-TMT_TUM_aspn_25_01_01-TMT1-1h-R1	TMT_ASPN	comet_params/comet.TMT.nocleavage.params.high_high 	[Z]	fasta/TUM_aspn_25_contam.decoy.fasta	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/04/PXD023120/
03923_GD1-TMT_TUM_aspn_25_01_01-TMT2-1h-R1	TMT_ASPN	comet_params/comet.TMT.nocleavage.params.high_high 	[Z]	fasta/TUM_aspn_25_contam.decoy.fasta	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/04/PXD023120/
03923_GD10-TMT_TUM_aspn_34_01_01-TMT1-1h-R1	TMT_ASPN	comet_params/comet.TMT.nocleavage.params.high_high 	[Z]	fasta/TUM_aspn_34_contam.decoy.fasta	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/04/PXD023120/
03923_GD10-TMT_TUM_aspn_34_01_01-TMT2-1h-R1	TMT_ASPN	comet_params/comet.TMT.nocleavage.params.high_high 	[Z]	fasta/TUM_aspn_34_contam.decoy.fasta	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/04/PXD023120/
03923_GD11-TMT_TUM_aspn_35_01_01-TMT1-1h-R1	TMT_ASPN	comet_params/comet.TMT.nocleavage.params.high_high 	[Z]	fasta/TUM_aspn_35_contam.decoy.fasta	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/04/PXD023120/
03923_GD11-TMT_TUM_aspn_35_01_01-TMT2-1h-R1	TMT_ASPN	comet_params/comet.TMT.nocleavage.params.high_high 	[Z]	fasta/TUM_aspn_35_contam.decoy.fasta	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/04/PXD023120/
03923_GD12-TMT_TUM_aspn_36_01_01-TMT1-1h-R1	TMT_ASPN	comet_params/comet.TMT.nocleavage.params.high_high 	[Z]	fasta/TUM_aspn_36_contam.decoy.fasta	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/04/PXD023120/
03923_GD12-TMT_TUM_aspn_36_01_01-TMT2-1h-R1	TMT_ASPN	comet_params/comet.TMT.nocleavage.params.high_high 	[Z]	fasta/TUM_aspn_36_contam.decoy.fasta	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/04/PXD023120/
03923_GD2-TMT_TUM_aspn_26_01_01-TMT1-1h-R1	TMT_ASPN	comet_params/comet.TMT.nocleavage.params.high_high 	[Z]	fasta/TUM_aspn_26_contam.decoy.fasta	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/04/PXD023120/
03923_GD2-TMT_TUM_aspn_26_01_01-TMT2-1h-R1	TMT_ASPN	comet_params/comet.TMT.nocleavage.params.high_high 	[Z]	fasta/TUM_aspn_26_contam.decoy.fasta	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/04/PXD023120/
03923_GD3-TMT_TUM_aspn_27_01_01-TMT1-1h-R1	TMT_ASPN	comet_params/comet.TMT.nocleavage.params.high_high 	[Z]	fasta/TUM_aspn_27_contam.decoy.fasta	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/04/PXD023120/
