sample	experiment	comet_params	enzyme_regex	fasta	server
02330a_GH3_3991_13_PTM_TrainKit_Pmod_Hydroxyproline_200fmol_survey_R1	Pmod_Hydroxyproline	comet_params/Pmod_Hydroxyproline.params.high_high	[KR]	fasta/proteometools_ptm_batch.decoy.fasta	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/06/PXD009449/
02330a_GH3_3991_13_PTM_TrainKit_Pmod_Hydroxyproline_200fmol_3xHCD_R1	Pmod_Hydroxyproline	comet_params/Pmod_Hydroxyproline.params.high_high	[KR]	fasta/proteometools_ptm_batch.decoy.fasta	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/06/PXD009449/
02330a_GH3_3991_13_PTM_TrainKit_Pmod_Hydroxyproline_200fmol_2xIT_2xHCD_R1	Pmod_Hydroxyproline	comet_params/Pmod_Hydroxyproline.params.high_high	[KR]	fasta/proteometools_ptm_batch.decoy.fasta	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/06/PXD009449/
02330a_GH2_3991_05_PTM_TrainKit_Kmod_Glutaryl_200fmol_survey_R1	Kmod_Glutaryl	comet_params/Kmod_Glutaryl.params.high_high	[KR]	fasta/proteometools_ptm_batch.decoy.fasta	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/06/PXD009449/
02330a_GH2_3991_05_PTM_TrainKit_Kmod_Glutaryl_200fmol_3xHCD_R1	Kmod_Glutaryl	comet_params/Kmod_Glutaryl.params.high_high	[KR]	fasta/proteometools_ptm_batch.decoy.fasta	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/06/PXD009449/
02330a_GH2_3991_05_PTM_TrainKit_Kmod_Glutaryl_200fmol_2xIT_2xHCD_R1	Kmod_Glutaryl	comet_params/Kmod_Glutaryl.params.high_high	[KR]	fasta/proteometools_ptm_batch.decoy.fasta	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/06/PXD009449/
02330a_GH1_3990_08_PTM_TrainKit_Kmod_Methyl_200fmol_survey_R1	Kmod_Methyl	comet_params/Kmod_Methyl.params.high_high	[KR]	fasta/proteometools_ptm_batch.decoy.fasta	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/06/PXD009449/
02330a_GH1_3990_08_PTM_TrainKit_Kmod_Methyl_200fmol_3xHCD_R1	Kmod_Methyl	comet_params/Kmod_Methyl.params.high_high	[KR]	fasta/proteometools_ptm_batch.decoy.fasta	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/06/PXD009449/
02330a_GH1_3990_08_PTM_TrainKit_Kmod_Methyl_200fmol_2xIT_2xHCD_R1	Kmod_Methyl	comet_params/Kmod_Methyl.params.high_high	[KR]	fasta/proteometools_ptm_batch.decoy.fasta	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/06/PXD009449/
# 02330a_GG3_3991_12_PTM_TrainKit_Pmod_Unmod_200fmol_survey_R1	Pmod_Unmod	comet_params/Pmod_Unmod.params.high_high	[KR]	fasta/proteometools_ptm_batch.decoy.fasta	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/06/PXD009449/
# 02330a_GG3_3991_12_PTM_TrainKit_Pmod_Unmod_200fmol_3xHCD_R1	Pmod_Unmod	comet_params/Pmod_Unmod.params.high_high	[KR]	fasta/proteometools_ptm_batch.decoy.fasta	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/06/PXD009449/
# 02330a_GG3_3991_12_PTM_TrainKit_Pmod_Unmod_200fmol_2xIT_2xHCD_R1	Pmod_Unmod	comet_params/Pmod_Unmod.params.high_high	[KR]	fasta/proteometools_ptm_batch.decoy.fasta	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/06/PXD009449/
02330a_GG2_3991_04_PTM_TrainKit_Kmod_Malonyl_200fmol_survey_R1	Kmod_Malonyl	comet_params/Kmod_Malonyl.params.high_high	[KR]	fasta/proteometools_ptm_batch.decoy.fasta	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/06/PXD009449/
02330a_GG2_3991_04_PTM_TrainKit_Kmod_Malonyl_200fmol_3xHCD_R1	Kmod_Malonyl	comet_params/Kmod_Malonyl.params.high_high	[KR]	fasta/proteometools_ptm_batch.decoy.fasta	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/06/PXD009449/
02330a_GG2_3991_04_PTM_TrainKit_Kmod_Malonyl_200fmol_2xIT_2xHCD_R1	Kmod_Malonyl	comet_params/Kmod_Malonyl.params.high_high	[KR]	fasta/proteometools_ptm_batch.decoy.fasta	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/06/PXD009449/
02330a_GG1_3990_07_PTM_TrainKit_Kmod_Acetyl_200fmol_survey_R1	Kmod_Acetyl	comet_params/Kmod_Acetyl.params.high_high	[KR]	fasta/proteometools_ptm_batch.decoy.fasta	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/06/PXD009449/
02330a_GG1_3990_07_PTM_TrainKit_Kmod_Acetyl_200fmol_3xHCD_R1	Kmod_Acetyl	comet_params/Kmod_Acetyl.params.high_high	[KR]	fasta/proteometools_ptm_batch.decoy.fasta	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/06/PXD009449/
02330a_GG1_3990_07_PTM_TrainKit_Kmod_Acetyl_200fmol_2xIT_2xHCD_R1	Kmod_Acetyl	comet_params/Kmod_Acetyl.params.high_high	[KR]	fasta/proteometools_ptm_batch.decoy.fasta	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/06/PXD009449/
02330a_GF3_3991_11_PTM_TrainKit_Ymod_Nitrotyr_200fmol_survey_R1	Ymod_Nitrotyr	comet_params/Ymod_Nitrotyr.params.high_high	[KR]	fasta/proteometools_ptm_batch.decoy.fasta	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/06/PXD009449/
02330a_GF3_3991_11_PTM_TrainKit_Ymod_Nitrotyr_200fmol_3xHCD_R1	Ymod_Nitrotyr	comet_params/Ymod_Nitrotyr.params.high_high	[KR]	fasta/proteometools_ptm_batch.decoy.fasta	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/06/PXD009449/
02330a_GF3_3991_11_PTM_TrainKit_Ymod_Nitrotyr_200fmol_2xIT_2xHCD_R1	Ymod_Nitrotyr	comet_params/Ymod_Nitrotyr.params.high_high	[KR]	fasta/proteometools_ptm_batch.decoy.fasta	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/06/PXD009449/
02330a_GF2_3991_03_PTM_TrainKit_Kmod_Succinyl_200fmol_survey_R1	Kmod_Succinyl	comet_params/Kmod_Succinyl.params.high_high	[KR]	fasta/proteometools_ptm_batch.decoy.fasta	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/06/PXD009449/
02330a_GF2_3991_03_PTM_TrainKit_Kmod_Succinyl_200fmol_3xHCD_R1	Kmod_Succinyl	comet_params/Kmod_Succinyl.params.high_high	[KR]	fasta/proteometools_ptm_batch.decoy.fasta	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/06/PXD009449/
02330a_GF2_3991_03_PTM_TrainKit_Kmod_Succinyl_200fmol_2xIT_2xHCD_R1	Kmod_Succinyl	comet_params/Kmod_Succinyl.params.high_high	[KR]	fasta/proteometools_ptm_batch.decoy.fasta	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/06/PXD009449/
02330a_GF1_3990_06_PTM_TrainKit_Kmod_Unmod_200fmol_survey_R1	Kmod_Unmod	comet_params/Kmod_Unmod.params.high_high	[KR]	fasta/proteometools_ptm_batch.decoy.fasta	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/06/PXD009449/
02330a_GF1_3990_06_PTM_TrainKit_Kmod_Unmod_200fmol_3xHCD_R1	Kmod_Unmod	comet_params/Kmod_Unmod.params.high_high	[KR]	fasta/proteometools_ptm_batch.decoy.fasta	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/06/PXD009449/
02330a_GF1_3990_06_PTM_TrainKit_Kmod_Unmod_200fmol_2xIT_2xHCD_R1	Kmod_Unmod	comet_params/Kmod_Unmod.params.high_high	[KR]	fasta/proteometools_ptm_batch.decoy.fasta	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/06/PXD009449/
02330a_GE3_3991_10_PTM_TrainKit_Ymod_Unmod_200fmol_survey_R1	Ymod_Unmod	comet_params/Ymod_Unmod.params.high_high	[KR]	fasta/proteometools_ptm_batch.decoy.fasta	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/06/PXD009449/
02330a_GE3_3991_10_PTM_TrainKit_Ymod_Unmod_200fmol_3xHCD_R1	Ymod_Unmod	comet_params/Ymod_Unmod.params.high_high	[KR]	fasta/proteometools_ptm_batch.decoy.fasta	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/06/PXD009449/
02330a_GE3_3991_10_PTM_TrainKit_Ymod_Unmod_200fmol_2xIT_2xHCD_R1	Ymod_Unmod	comet_params/Ymod_Unmod.params.high_high	[KR]	fasta/proteometools_ptm_batch.decoy.fasta	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/06/PXD009449/
02330a_GE2_3991_02_PTM_TrainKit_Kmod_Butyryl_200fmol_survey_R1	Kmod_Butyryl	comet_params/Kmod_Butyryl.params.high_high	[KR]	fasta/proteometools_ptm_batch.decoy.fasta	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/06/PXD009449/
02330a_GE2_3991_02_PTM_TrainKit_Kmod_Butyryl_200fmol_3xHCD_R2	Kmod_Butyryl	comet_params/Kmod_Butyryl.params.high_high	[KR]	fasta/proteometools_ptm_batch.decoy.fasta	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/06/PXD009449/
02330a_GE2_3991_02_PTM_TrainKit_Kmod_Butyryl_200fmol_2xIT_2xHCD_R2	Kmod_Butyryl	comet_params/Kmod_Butyryl.params.high_high	[KR]	fasta/proteometools_ptm_batch.decoy.fasta	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/06/PXD009449/
